,標題,产权性质,住宅类别,建筑类别,参考月供,年代,建筑面积,户型,楼层,物 业 费,物业类型,结构,装修,總價
0,急售70年产权房源 房东装修 户型正气 产证清晰 随时看房,个人产权,普通住宅,板楼,,1989年,70.4,2室2厅1厨1卫,中层(共6层),暂无资料,住宅,平层,精装修,30.6
1,世纪大道站  福山外国语+建平西校 看房随时急卖,个人产权,普通住宅,塔楼,,1989年,49.82,2室1厅0厨1卫,中层(共6层),1元/平米・月,住宅,平层,简装修,418.0
2,大四房出售，带会所+高区景观+车位,个人产权,普通住宅,,,2005年,288.3,4室2厅0厨2卫,高层(共40层),3.5元/平米・月,住宅,,精装修,2650.0
3,精装二房全明户型户型好客厅主卧朝南带阳台看房方便,商品房,,板楼,,1994年,56.0,2室1厅1厨1卫,高层(共6层),0.4元/平米・月,住宅,平层,简装修,280.0
4,"满五税费少,房东接受置换客户,房东这边房子已经看好,急卖",个人产权,普通住宅,钢混,,1998年,58.0,2室1厅1厨1卫,高层(共6层),0.4元/平米・月,住宅,平层,精装修,190.0
5,延吉控江一楼天井精装修水丰南北通透,商品房,,板楼,,1986年,35.0,1室2厅1厨1卫,低层(共6层),0.85元/平米・月,住宅,平层,简装修,205.0
6,纯双拼别墅，外环旁低总价，奢华大厅，美极了,,,,,,237.0,4室3厅1厨4卫,,3.8元/平米・月,别墅,,,1000.0
7,纪联小区，，大一房一厅，精装修，，！诚售,个人产权,普通住宅,板楼,,1996年,50.0,1室1厅1厨1卫,中层(共6层),暂无资料,住宅,平层,精装修,230.0
8,特荐：淞南精品实惠小户型 双南户型 一梯两户 性价比很高哦,商品房,普通住宅,塔楼,,1994年,68.81,2室1厅1厨1卫,低层(共6层),0.8元/平米・月,住宅,平层,中装修,273.0
9,成熟正规小区。二楼。双南两房。距离 看房随时。,个人产权,普通住宅,板楼,,1996年,72.0,2室1厅1厨1卫,低层(共6层),0.5元/平米・月,住宅,平层,精装修,410.0
10,11年次新 业主急降 繁华地段 满5年 税费少,个人产权,普通住宅,板楼,,2011年,110.0,2室2厅1厨1卫,中层(共34层),4.3元/・月,住宅,平层,豪华装修,1000.0
11,绿城豪宅，精品纯独栋，格局方正，双南设计，全明通透，豪华气派,,,,,,502.0,5室3厅2厨6卫,,6.5元/平方米・月,别墅,,,2798.0
12,月浦八村繁华地段 毗邻公园双南两房 双轨交通,个人产权,普通住宅,,,1991年,47.12,2室0厅0厨1卫,高层(共6层),0.6元/平米・月,住宅,,中装修,180.0
13,新出房源 房东置换 新房已看好 放价10万 诚心出售 满五税费少,个人产权,普通住宅,板楼,,1995年,35.12,1室1厅1厨1卫,中层(共6层),0.5元/平米・月,住宅,平层,精装修,185.0
14,"开发商内部保留房,一手房更名,全新豪华装修！带产权车位！",个人产权,普通住宅,钢混,,2017年,123.0,3室2厅1厨2卫,中层(共16层),4.8元/・月,住宅,平层,精装修,508.0
15,艺泰安邦，精装修南北通房东保养不错可拎包住房子满五税费少,个人产权,普通住宅,板楼,,2012年,87.0,2室2厅1厨1卫,低层(共18层),1.4元/平米・月,住宅,平层,精装修,270.0
16,1号线，闸北公园景观房，十院，精装修，生活便利,个人产权,普通住宅,板楼,,2002年,103.0,2室2厅1厨1卫,中层(共28层),1.5元/平米・月,住宅,平层,精装修,700.0
17,新出长桥八村一房一厅 全明四楼 房东置换急卖 徐教院,个人产权,普通住宅,板楼,,1996年,45.0,1室1厅1厨1卫,中层(共6层),0.8元/平米・月,住宅,平层,简装修,258.0
18,光新路191弄 南北通透两室户 地段佳 出行方便满五少税,个人产权,普通住宅,板楼,,1990年,47.0,2室1厅1厨1卫,低层(共6层),0.3元/平米・月,住宅,平层,精装修,
19,正规成熟小区，小区中间非常安静，黄金楼层，光线非常好！,个人产权,普通住宅,板楼,,1970年,22.5,1室1厅1厨1卫,中层(共6层),0.3元/平米・月,住宅,平层,精装修,90.0
20,金地品质―对口顾村试验学校―精装交付―送20平大露台―只付契税,个人产权,普通住宅,板楼,,2017年,90.0,3室2厅1厨1卫,高层(共8层),2.95元/・月,住宅,平层,精装修,340.0
21,市光一村 3楼 双南户型 满五无税 出门欧尚 天行好房源,个人产权,普通住宅,板楼,,1993年,57.88,2室1厅1厨1卫,中层(共6层),0.8元/平米・月,住宅,平层,中装修,318.0
22,金都花好悦园五期，精装南北通2房 中心位置，田园外国语小学,个人产权,普通住宅,板楼,,2004年,90.0,2室2厅1厨1卫,中层(共6层),0.8元/平米・月,住宅,平层,精装修,420.0
23,业主移民急售低于市场价300万高区全屋地暖中央空调送车位有钥匙,个人产权,普通住宅,板楼,,2004年,161.09,3室2厅1厨2卫,高层(共21层),3.05元/平米・月,住宅,平层,豪华装修,900.0
24,迪士尼旁精装一手住宅，绿都绣云里，总价低至280万，日后必涨,商品房,普通住宅,板楼,,2016年,116.0,4室2厅1厨2卫,中层(共14层),3.8元/・月,住宅,平层,精装修,453.0
25,三林新村，精装一房，低于市场价50万，前滩覆盖区域，房东诚售,个人产权,普通住宅,板楼,,2015年,57.0,1室1厅1厨1卫,中层(共17层),0.9元/平米・月,住宅,平层,简装修,270.0
26,宜浩佳园电梯房买到就是赚到.,个人产权,普通住宅,板楼,,2008年,110.42,2室2厅1厨1卫,高层(共13层),0.99元/平米・月,住宅,平层,精装修,330.0
27,投咨300亿山水六旗主题公园 金色海岸 海景房 得房率110,个人产权,普通住宅,,,2016年,84.0,2室2厅0厨1卫,中层(共15层),暂无资料,住宅,,毛坯,80.0
28,嘉利明珠城南北直通两房 中区楼层 价格实惠 业主买好本小区三房,个人产权,普通住宅,板楼,,2005年,109.0,2室2厅1厨2卫,中层(共36层),1.65元/平米・月,住宅,平层,精装修,690.0
29,近地铁精装下叠加别墅，送花园，送地下室和私家车库，,,,,,,125.0,4室2厅1厨2卫,,2.1元/平米・月,别墅,,,600.0
30,万科四季花城低于市场价20万3房自持物业环境好丰富看房随时,商品房,酒店式公寓,板楼,,2007年,114.0,3室2厅1厨1卫,低层(共11层),2.35元/平米・月,住宅,平层,精装修,455.0
31,天馨花园精装三房南北通透随时可看一步到位,个人产权,酒店式公寓,塔板结合,,2008年,107.0,3室2厅1厨2卫,中层(共6层),1.20元/平米・月,住宅,,精装修,422.0
32,禄德嘉苑 杨行镇地带繁华商业街不甘寂寞璀璨夺目的三房,个人产权,酒店式公寓,塔板结合,,2006年,144.0,3室2厅1厨2卫,低层(共11层),1.2元/平米・月,住宅,,毛坯,600.0
33,香逸湾精装三房南北通透近交通便利配套齐全花园景观房,个人产权,普通住宅,塔板结合,,2012年,89.0,3室2厅1厨1卫,中层(共12层),2.1元/平米・月,住宅,,精装修,390.0
34,高品质好物业绿城春江美庐精装两房，主卧朝南，南北通透厨卫全明,商品房,普通住宅,平房,,2012年,82.0,2室2厅1厨1卫,中层(共18层),2.27元/平米・月,住宅,平层,精装修,360.0
35,香逸湾毛坯四房南北通透实用房型近房龄新,商品房,普通住宅,钢混,,2011年,134.0,4室2厅1厨2卫,中层(共11层),2.1元/平米・月,住宅,平层,毛坯,590.0
36,香逸湾理解你需求的品质电梯三房近配套成熟南北通透位置好房,商品房,普通住宅,钢混,,2010年,89.0,3室2厅1厨1卫,高层(共12层),2.1元/平米・月,住宅,平层,精装修,410.0
37,禄德嘉苑低于市场价40万商业配套成熟精装大两房双阳台南北通透,商品房,酒店式公寓,钢混,,2006年,107.0,2室2厅1厨1卫,中层(共11层),1.2元/平米・月,住宅,平层,豪华装修,465.0
38,香逸湾 经典2+1户型 1号线电梯房南北通透 精装满五年,经济适用房,普通住宅,钢混,,2010年,88.0,3室2厅1厨1卫,中层(共12层),2.1元/平米・月,住宅,平层,精装修,400.0
39,万业紫辰苑 精装三房 全明户型 近 次新房 小区急售,个人产权,酒店式公寓,塔板结合,,2014年,105.0,3室2厅1厨1卫,高层(共28层),2.5元/・月,住宅,,毛坯,440.0
40,华馨苑小复式双南两房精装修4.8米低于市场价20万近配套成熟,商品房,普通住宅,平房,,2001年,93.43,2室2厅1厨1卫,高层(共1层),0.9元/平米・月,住宅,复式,精装修,345.0
41,天馨花园800米三房南北通透随时可看,商品房,普通住宅,,,2009年,100.76,3室2厅1厨1卫,中层(共6层),1.20元/平米・月,住宅,,简装修,440.0
42,次新房康桥水都联排别墅精装满五年周边配套成熟近近江阳市场,,,,,,151.0,4室2厅1厨3卫,,2.1元/平米・月,别墅,,,635.0
43,海域笙晖下叠别墅700万可卖看房提前预约即可双开门别墅成熟配套,,,,,,118.0,4室2厅1厨3卫,,3.12元/平米・月,别墅,,,700.0
44,大黄馨苑一手动税费低低于市场价20万预购从速电梯房近,商品房,普通住宅,钢混,,2008年,57.0,1室1厅1厨1卫,中层(共12层),1.2元/平米・月,住宅,平层,简装修,235.0
45,世华佳苑低于市场价30万花园洋房电梯房总高6楼精装三房近,商品房,酒店式公寓,板楼,,2006年,136.0,3室2厅1厨2卫,中层(共6层),1.35元/平米・月,住宅,平层,精装修,640.0
46,春江美庐次新房绿城物业品质小区南北通透经典两房精装满两年,个人产权,普通住宅,塔板结合,,2012年,82.0,2室1厅1厨1卫,中层(共18层),2.27元/平米・月,住宅,,精装修,360.0
47,香逸湾 稀罕3房 中心位置 景观楼层 精装修带满五年卫衣省税,个人产权,酒店式公寓,板楼,,2010年,118.0,3室2厅1厨2卫,低层(共8层),2.1元/平米・月,住宅,,中装修,550.0
48,春江美庐带产权车位的精装电梯房随时看房中心位置近地铁配套好,商品房,普通住宅,钢混,,2012年,102.0,3室2厅1厨2卫,中层(共12层),2.27元/平米・月,住宅,平层,精装修,465.0
49,绿地毛坯南北2房 南北通透  全明户型 看房随时,个人产权,普通住宅,钢混,,2014年,74.0,2室2厅1厨1卫,低层(共18层),2.87元/平方米・月,住宅,平层,毛坯,310.0
50,杨泰大平层三房精装修得房飘窗大地铁房,个人产权,酒店式公寓,塔板结合,,2006年,129.0,3室2厅1厨2卫,低层(共6层),1.6元/平米・月,住宅,,毛坯,530.0
51,香逸湾双南2房厅朝南景观楼层视野开阔随时好过户,个人产权,普通住宅,塔板结合,,2009年,69.0,2室2厅1厨1卫,中层(共17层),2.1元/平米・月,住宅,,简装修,340.0
52,康桥水都精装三房低于市场价50万且税费各付看房随时好,个人产权,酒店式公寓,塔板结合,,2006年,118.0,3室2厅1厨2卫,中层(共6层),1.35元/平米・月,住宅,,精装修,490.0
53,绿地海域笙晖品牌开发商精装3房带双阳台景观房随时可看,个人产权,酒店式公寓,板楼,,2015年,97.0,3室2厅1厨1卫,中层(共13层),2.87元/平方米・月,住宅,,精装修,435.0
54,湖州市太湖旁（高层景观房）（不限够）（看房专车接送）,个人产权,普通住宅,板楼,,2017年,90.0,3室2厅1厨2卫,高层(共21层),1.7元/・月,住宅,平层,精装修,75.0
55,奥林匹克花园总代理，没有虚假，空中小别墅，真实照片，中心位置,个人产权,普通住宅,板楼,,2007年,180.0,4室3厅1厨3卫,高层(共5层),1.50元/平米・月,住宅,平层,精装修,750.0
56,保利打造+9号线地铁100米+全德系装修+三湘商业广场！,个人产权,普通住宅,板楼,,2016年,96.0,3室2厅1厨2卫,中层(共14层),2.5元/平方米・月,住宅,平层,豪华装修,450.0
57,市光三村 大型品质社区 南北房型 东山墙 8号线地铁房,个人产权,普通住宅,砖混,,1994年,52.0,2室0厅1厨1卫,高层(共6层),0.5元/平米・月,住宅,平层,精装修,245.0
58,景观房，有车位，豪装，视野开阔，进才，随时约看,个人产权,普通住宅,板楼,,2002年,193.0,4室2厅1厨2卫,中层(共11层),1.95元/平米・月,住宅,平层,豪华装修,1710.0
59,大华二村 繁华地段 双南一北 双阳台 精装修 接受置换,商品房,普通住宅,塔楼,,1996年,88.0,3室2厅1厨1卫,中层(共6层),0.4元/平米・月,住宅,平层,精装修,455.0
60,华府天地主营专员+价格可谈+1层1户+看房方便+送车位+高区看湖景,个人产权,普通住宅,,,2006年,454.82,5室3厅2厨4卫,高层(共21层),14.5元/平米・月,住宅,,精装修,5500.0
61,古镇旁边，环境优美，交通便利户型正气，配套成熟,个人产权,普通住宅,板楼,,2013年,47.0,1室1厅1厨1卫,中层(共6层),1.24元/・月,住宅,平层,精装修,36.0
62,精装三房倾囊全送小区绿化极高 双chong重点学校 给孩子优质生活,个人产权,普通住宅,钢混,,2006年,146.31,3室2厅1厨2卫,高层(共11层),1.25元/平米・月,住宅,平层,精装修,480.0
63,全新装修 全明户型 采光极好 小区安静 近地铁 配套成熟,售后公房,普通住宅,板楼,,1989年,41.53,1室1厅1厨1卫,中层(共6层),1.6元/平米・月,住宅,平层,精装修,210.0
64,真实有效 价格公道 江景房 买到坐等,个人产权,普通住宅,板楼,,2013年,69.5,2室1厅1厨1卫,高层(共33层),1.2元/平米・月,住宅,平层,中装修,340.0
65,老客户转让，首付20万，可，1梯1户，专车接送看房,个人产权,普通住宅,,,2017年,82.0,3室2厅1厨2卫,低层(共17层),暂无资料,住宅,平层,毛坯,69.0
66,"新上实拍!买3送2,附送精装阁楼,满5年少税,置换急售,预约随时看房",个人产权,普通住宅,板楼,,,121.0,3室2厅1厨2卫,高层(共5层),1.2元/平米・月,住宅,平层,精装修,470.0
67,房东已定首府房子，240万急售，低于市场20万,个人产权,普通住宅,板楼,,2016年,88.0,3室2厅1厨1卫,中层(共4层),1.75元/平米・月,住宅,平层,简装修,240.0
68,品质社区欧式风格成熟社区高素质人群,商品房,普通住宅,板楼,,2000年,138.0,3室2厅1厨2卫,中层(共9层),1.15元/平米・月,住宅,平层,中装修,830.0
69,明珠无占用+采光好无遮挡+成熟小区配套齐全+温馨舒适,个人产权,普通住宅,钢混,,1986年,31.0,1室1厅1厨1卫,中层(共6层),4.5元/平米・月,住宅,平层,精装修,215.0
70,南浔古镇，月亮湾花园，南北通透，双轨交汇，配套齐全，得房,个人产权,普通住宅,板楼,,2017年,92.0,2室2厅1厨1卫,中层(共17层),暂无资料,住宅,平层,简装修,80.0
71,疯了，居然还有这么的房子。房东120万诚心出售。,个人产权,普通住宅,板楼,,2004年,90.0,3室2厅1厨1卫,中层(共15层),暂无资料,住宅,平层,精装修,400.0
72,淀山湖旁 临河别墅 豪华装修 度假养生 风景秀丽 低价出售,,,,,,320.0,5室3厅0厨3卫,,4.2元/・月,别墅,,,650.0
73,11号线花园洋房、小高层、周边配套齐全、单价低、未来发展趋势大,个人产权,新里洋房,钢混,,1995年,92.0,2室1厅1厨1卫,中层(共8层),1.2元/平米・月,住宅,平层,毛坯,255.0
74,携手途家包租10年，10个点，客,个人产权,酒店式公寓,板楼,,2014年,50.0,2室1厅1厨1卫,中层(共8层),暂无资料,住宅,平层,豪华装修,40.0
75,房东因欠债抛售此房.送车位精装全配，首付之后过户，好贷款,个人产权,酒店式公寓,钢混,,2010年,45.0,2室2厅1厨1卫,高层(共21层),4元/平米・月,住宅,复式,精装修,55.0
76,好楼层，新上房源，满二减税，生活很便利,个人产权,普通住宅,板楼,,1997年,45.0,1室1厅1厨1卫,中层(共6层),0.35元/平米・月,住宅,平层,精装修,200.0
77,7号线，精装修，，房东急出售，价格可以谈！！！,个人产权,普通住宅,板楼,,1994年,50.82,2室1厅1厨1卫,高层(共6层),0.5元/平米・月,住宅,平层,精装修,320.0
78,快荐 05年小区 新出笋盘 南北户型 近 黄兴公园 大润发 五角,个人产权,普通住宅,钢混,,2004年,97.0,2室2厅1厨1卫,中层(共6层),1.45元/平米・月,住宅,平层,精装修,578.0
79,低于750万的都是虚假房源，真实照片，！！,商品房,,板楼,,2003年,131.61,2室2厅1厨2卫,低层(共12层),1.5元/平米・月,住宅,平层,简装修,750.0
80,水丰 近轻轨八号 房东诚心出售 双南两房 看中可谈,商品房,,板楼,,1987年,44.0,2室1厅1厨1卫,高层(共6层),0.3元/平米・月,住宅,平层,简装修,235.0
81,邻近花桥站/花溪公园边，房型正气/带车位，周边配套成熟，配套全,个人产权,普通住宅,板楼,,2010年,105.0,3室2厅1厨2卫,中层(共15层),0.8元/平米・月,住宅,平层,精装修,98.0
82,央企品质！厅南北通卧室全南！一线看江！带车位,个人产权,普通住宅,,,1900年,186.88,3室2厅0厨2卫,中层(共25层),7.7元/・月,住宅,,中装修,2500.0
83,精装修复式房 环境优美 景观房 得房率200 商业配套齐,商品房,普通住宅,塔楼,,2017年,47.98,1室2厅1厨1卫,高层(共11层),2.1元/平米・月,住宅,平层,精装修,80.0
84,11号线智慧城、一手房、、、万科物业,商品房,,板楼,,2015年,38.0,1室1厅1厨1卫,中层(共18层),5元/平米・月,住宅,平层,精装修,60.0
85,新出！顶楼复式带露台！送车位！业主诚心出售！,个人产权,普通住宅,板楼,,2012年,100.11,3室2厅1厨2卫,高层(共12层),2.28元/平米・月,住宅,复式,精装修,450.0
86,精装小两房，房东缺钱急售，送产权车位，满二省税，随时看房,商品房,普通住宅,塔板结合,,2013年,87.0,2室2厅1厨1卫,中层(共18层),1.75元/・月,住宅,平层,毛坯,310.0
87,海事小区精装房出售 可随时看房,个人产权,普通住宅,板楼,,2006年,88.31,2室2厅1厨1卫,高层(共4层),0.7元/平米・月,住宅,平层,简装修,210.0
88,合景品质住宅，错过将是您的损失！这个真没法！,个人产权,普通住宅,板楼,,2014年,76.0,2室2厅1厨1卫,中层(共18层),2.9元/平米・月,住宅,平层,精装修,230.0
89,长征新村周围生活配套齐全，3号线，赠送面积大，可看房。,个人产权,普通住宅,钢混,,1985年,35.0,2室1厅1厨1卫,中层(共6层),暂无资料,住宅,平层,精装修,83.0
90,银杨大厦 刚需典范 性价比标杆 精装好房 打一 急售！！,个人产权,普通住宅,,,1997年,67.26,1室1厅1厨1卫,高层(共26层),1.5元/平米・月,住宅,,精装修,395.0
91,房东急降10万+2014年精装8万+五三看房有钥匙 急急急,商品房,普通住宅,板楼,,1995年,66.8,2室1厅1厨1卫,中层(共6层),0.3元/平米・月,住宅,平层,精装修,248.0
92,11号南北通透，精装修满两年，户型正气，诚心出售,个人产权,普通住宅,板楼,,2011年,89.23,2室2厅1厨1卫,低层(共18层),2.1元/平米・月,住宅,平层,精装修,260.0
93,春江美庐 诚心出售 精装两房 送家具家电 看房方便 首付无要求,个人产权,普通住宅,,,2012年,82.0,2室2厅1厨1卫,中层(共18层),2.27元/平米・月,住宅,,精装修,355.0
94,福外+建平大面积两室一厅带天井 已迁出 无占用,商品房,普通住宅,塔楼,,1995年,63.0,2室1厅1厨1卫,低层(共6层),0.8元/平米・月,住宅,平层,中装修,506.0
95,"除了这套房子,您在龙阳路找不到更具性价比的,果断很重要",个人产权,普通住宅,钢混,,2000年,52.0,1室1厅1厨1卫,低层(共6层),0.35元/平米・月,住宅,平层,精装修,265.0
96,陆家嘴新景园，南北大两房，0距离，送60平方花园，诚售,个人产权,普通住宅,,,2002年,92.6,2室2厅1厨1卫,低层(共6层),1.80元/平米・月,住宅,,简装修,680.0
97,晨曦沐浴阳光，傍晚静观余晖，电梯大复式，给予您别墅般的温馨家,个人产权,普通住宅,板楼,,2005年,294.0,4室3厅1厨2卫,高层(共13层),1.74元/平米・月,住宅,平层,简装修,1200.0
98,经典户型的好房 南北通透 装修精美 好过户！,个人产权,普通住宅,,,2014年,50.0,1室1厅1厨1卫,高层(共27层),1.2元/平米・月,住宅,,精装修,85.0
99,圣安德鲁斯庄园 高品质独栋社区 干挂石材外立面,,,,,,372.0,5室3厅1厨3卫,,4.8元/平米・月,别墅,,,1600.0
100,艾南小区3楼1房，装修没的说，可以拎包住，还满五年，急售,商品房,,板楼,,1996年,42.0,1室1厅1厨1卫,中层(共6层),0.56元/平米・月,住宅,平层,精装修,200.0
101,（验证房源）一号线旁，麦德龙，97年小区，南北通透，紧售,商品房,普通住宅,塔楼,,1995年,64.0,2室1厅1厨1卫,中层(共6层),0.54元/平米・月,住宅,平层,中装修,360.0
102,塘和家园德宁苑 三房 等待了这么久，怎么能错过！！！,个人产权,普通住宅,板楼,,2015年,84.0,3室2厅1厨1卫,低层(共18层),1.45元/平米・月,住宅,平层,简装修,232.0
103,每一座传世尊邸稀若上天恩赐。。此房仅献给少数人中的少数,,,,,,558.0,6室3厅1厨5卫,,5.95元/平米・月,别墅,,,2780.0
104,广兰名苑南北通二房出售，近广兰路，小区,商品房,普通住宅,板楼,,2002年,124.0,2室2厅1厨2卫,低层(共11层),1.8元/平米・月,住宅,平层,简装修,610.0
105,张江汤臣豪园老业主的房子因置换大房诚售好近和商业,商品房,普通住宅,板楼,,2007年,77.0,2室2厅1厨1卫,中层(共8层),1.8元/平米・月,住宅,平层,精装修,680.0
106,张江汤臣豪园老业主的房子因置换大房诚售好近和商业,商品房,普通住宅,塔楼,,2007年,77.0,2室2厅1厨1卫,中层(共8层),1.8元/平米・月,住宅,平层,精装修,645.0
107,急！急！急！ 精装修南向，急售！,商品房,普通住宅,塔楼,,2010年,77.0,2室1厅1厨1卫,低层(共6层),0.6元/平米・月,住宅,平层,精装修,400.0
108,独佳房源 低于市场价30万 装修好 房型南北通透 位置安静 近公园,商品房,普通住宅,板楼,,2004年,80.52,2室2厅1厨1卫,中层(共6层),0.45元/平米・月,住宅,平层,精装修,400.0
109,房东置换急售，双学！区！二号线，小区看房方便,商品房,普通住宅,板楼,,1995年,81.0,2室2厅1厨1卫,高层(共6层),0.25元/平米・月,住宅,平层,精装修,400.0
110,近地/铁，送50万装修，交通方便，第二竹园，房东诚心出售,商品房,普通住宅,板楼,,2004年,92.75,2室2厅1厨1卫,低层(共6层),0.45元/平米・月,住宅,平层,精装修,432.0
111,春港新出好房 一年只出来一套的南北通两房 精装修 随时看,商品房,普通住宅,板楼,,2001年,93.6,2室2厅1厨1卫,中层(共6层),0.8元/平米・月,住宅,平层,精装修,462.0
112,新装修，南门，二，2号，13号线，南北通,商品房,普通住宅,板楼,,1995年,74.0,2室1厅1厨1卫,低层(共6层),0.35元/平米・月,住宅,平层,精装修,400.0
113,阳光花城二期近广兰路2号线交通便利户型正气业主置换急卖,商品房,普通住宅,板楼,,2007年,98.0,2室2厅1厨1卫,高层(共12层),2.07元/平米・月,住宅,平层,精装修,500.0
114,一手动迁税少，近13号线张江路站，采光好不靠路，南北通透随时,商品房,普通住宅,板楼,,2003年,87.0,2室2厅1厨1卫,高层(共6层),0.6元/平米・月,住宅,平层,精装修,430.0
115,精装，看房随时，，交通便利，配套齐全，全明户型,商品房,普通住宅,塔楼,,1998年,82.21,2室2厅1厨1卫,中层(共6层),0.55元/平米・月,住宅,平层,精装修,450.0
116,二号线广兰路 张江实验藿香  全明户型 随时看房,商品房,普通住宅,板楼,,1998年,82.0,2室2厅1厨1卫,中层(共11层),0.55元/平米・月,住宅,跃层,精装修,450.0
117,城市经典高迪一房，装修,商品房,普通住宅,板楼,,2006年,64.0,1室1厅1厨1卫,中层(共13层),2.3元/平米・月,住宅,平层,精装修,430.0
118,有，高清实拍，放心好房，精致户型,商品房,普通住宅,板楼,,1995年,76.0,2室1厅1厨1卫,中层(共6层),0.25元/平米・月,住宅,平层,精装修,420.0
