,標題,产权性质,住宅类别,建筑类别,参考月供,年代,建筑面积,户型,楼层,物 业 费,物业类型,结构,装修,總價
119,房东上门挂牌，品质小区，就是公园，送精装修，置换出售,商品房,普通住宅,板楼,,2004年,86.0,3室1厅1厨1卫,中层(共6层),0.6元/平米・月,住宅,平层,精装修,410.0
120,九间堂总价低+800平花园+随意装修+超华洲君庭,,,,,,551.0,5室3厅1厨5卫,,6元/平米・月,别墅,,,10000.0
121,九间堂别墅+性价比醉高+前后600平庭院+随意设计！超东郊壹号,,,,,,625.89,5室3厅1厨5卫,,6元/平米・月,别墅,,,10000.0
122,九间堂+1200平大花园+双面临水+中位置+业主急售！,,,,,,731.24,5室3厅1厨6卫,,6元/平米・月,别墅,,,11000.0
123,双南户型+南北通透+50米+9号口+送装修15万，动迁,个人产权,普通住宅,,,2007年,55.0,1室1厅1厨1卫,中层(共6层),0.5元/平米・月,住宅,,精装修,230.0
124,海宁市，三 双公园，首付三成配套完善，！,个人产权,普通住宅,,,2017年,130.0,3室2厅1厨2卫,中层(共33层),暂无资料,住宅,,精装修,123.0
125,南北通透+精装小户型，总价低+近，随时可看房+,个人产权,普通住宅,,,2005年,55.0,1室1厅1厨1卫,中层(共6层),0.45元/平米・月,住宅,,精装修,220.0
126,嘉善高铁站旁小区，周边配套齐全20到上海，看房免费接送,个人产权,普通住宅,,,2015年,89.0,3室2厅1厨1卫,中层(共18层),1.86元/・月,住宅,,毛坯,110.0
127,湖州太湖边又一神盘，亚运分会场就在这里，首付26万起，地段好,个人产权,普通住宅,板楼,,2017年,125.0,4室2厅1厨2卫,中层(共26层),1.7元/・月,住宅,平层,简装修,110.0
128,观阑+五三 没用过 城南居委2室 双南户型 满五,个人产权,普通住宅,,,1990年,48.0,2室1厅1厨1卫,高层(共6层),0.8元/平米・月,住宅,,中装修,205.0
129,曹路阳光苑三房87平272万 满五 双轨交通便利,个人产权,普通住宅,,,1997年,87.0,3室1厅1厨1卫,中层(共6层),0.7元/平米・月,住宅,,简装修,272.0
130,临园小区 两房户型 三楼 采光 近2号线 急售,个人产权,普通住宅,,,1998年,51.0,2室1厅1厨1卫,中层(共5层),0.75元/平米・月,住宅,,简装修,200.0
131,祝桥 新出炉大3房精装修 家电全送低于市场价15万,个人产权,普通住宅,,,2008年,125.0,3室2厅1厨2卫,中层(共14层),0.5元/平米・月,住宅,,豪华装修,382.0
132,准拆迁房+陆家嘴金融圈+双南户型+真实有效+到价签字+有钥匙,个人产权,普通住宅,,,1987年,49.0,2室0厅1厨1卫,中层(共6层),0.5元/平米・月,住宅,,精装修,360.0
133,陆家嘴东扩准拆迁房+急售+满五+有效房源,个人产权,普通住宅,,,1993年,49.0,2室1厅1厨1卫,中层(共6层),0.5元/平米・月,住宅,,简装修,368.0
134,地铁口双南2房+业主急售+高诚意度+到价签字+准拆迁房,个人产权,普通住宅,,,1992年,49.0,2室0厅1厨1卫,中层(共6层),0.5元/平米・月,住宅,,精装修,368.0
135,（大家都在看）00年商品房 近1/3号线，超正户型，拎包,个人产权,普通住宅,,,2001年,83.0,2室2厅1厨1卫,中层(共6层),0.48元/平米・月,住宅,,精装修,480.0
136,铁树开花！康佳苑72平米精致南北两房面市！精装修，！,个人产权,普通住宅,,,1999年,72.8,2室2厅1厨1卫,高层(共6层),0.9元/平米・月,住宅,,精装修,465.0
137,金牛苑 三房两厅两卫 600万 静待有缘人 附带大花园 商品房,个人产权,普通住宅,,,2000年,100.0,3室2厅1厨2卫,低层(共6层),0.48元/平米・月,住宅,,简装修,600.0
138,新出双南双天井，带固定租的车位，产权清晰无,个人产权,普通住宅,,,1997年,83.0,3室1厅1厨1卫,低层(共6层),0.5元/平米・月,住宅,,简装修,465.0
139,高行馨苑，一楼带大花园，适合老人，花园可种花草,个人产权,普通住宅,,,2005年,56.42,1室1厅1厨1卫,低层(共6层),0.7元/平米・月,住宅,,毛坯,270.0
140,南北通豪装大三房还带地下子母车位，急卖，急卖，就是急卖,个人产权,普通住宅,板楼,,2002年,126.0,3室2厅1厨2卫,中层(共34层),1.75元/平米・月,住宅,平层,精装修,830.0
141,精装大一房，拎包就能入住，业主订好房子急售，接受置换！,个人产权,普通住宅,板楼,,2005年,62.0,1室2厅1厨1卫,高层(共32层),1.85元/平米・月,住宅,平层,精装修,515.0
142,!星河湾三期样板间！独有4.2！！,个人产权,普通住宅,,,2015年,375.0,4室3厅1厨4卫,高层(共21层),4.9元/・月,住宅,,豪华装修,4000.0
143,西郊宾馆旁，千林海内，密度低一手现房，复地御西郊,个人产权,普通住宅,,,2015年,350.0,3室2厅1厨2卫,高层(共7层),13.8元/・月,住宅,,豪华装修,3000.0
144,低密度花园洋房 出则繁华 入则宁静 高 一手房,个人产权,普通住宅,,,2016年,169.0,3室2厅1厨2卫,高层(共8层),12.8元/・月,住宅,,精装修,1800.0
145,松柏・70平两房・户型・东南朝向・老房东挂牌・到价即签,个人产权,普通住宅,钢混,,1992年,70.56,2室1厅1厨1卫,高层(共21层),2.5元/平米・月,住宅,平层,精装修,600.0
146,两件卧室朝南・阳光充足・・有钥匙・老房东挂牌・诚意,个人产权,普通住宅,钢混,,1980年,53.0,2室1厅1厨1卫,中层(共6层),1.3元/平米・月,住宅,平层,简装修,430.0
147,松柏・两房一厅一卫・主卧朝南・厅朝东南・次卧朝东南・厨卫,个人产权,普通住宅,钢混,,1992年,68.18,2室1厅1厨1卫,低层(共21层),2.5元/平米・月,住宅,平层,精装修,560.0
148,怡水豪庭・76平一房二厅・可改两房・可看苏州河・诚意！,个人产权,普通住宅,钢混,,2008年,75.93,1室2厅1厨1卫,中层(共29层),8.3元/平米・月,住宅,平层,简装修,400.0
149,金瓯万国・两房两厅两卫・两房朝南・厅朝南・全明户型,个人产权,普通住宅,钢混,,1999年,115.0,2室2厅1厨2卫,中层(共28层),1.65元/平米・月,住宅,平层,精装修,900.0
150,委托 房需用钱,个人产权,普通住宅,钢混,,2001年,103.01,2室2厅1厨1卫,中层(共33层),1.75元/平米・月,住宅,平层,简装修,650.0
151,景观，户型好 位置好 可以改两房适合小夫妻结婚过度,个人产权,普通住宅,板楼,,2006年,86.0,1室2厅1厨1卫,高层(共34层),1.75元/平米・月,住宅,平层,精装修,595.0
152,晶彩视界大一房，可改两房,个人产权,普通住宅,板楼,,2005年,86.12,1室2厅1厨1卫,中层(共33层),1.85元/平米・月,住宅,平层,精装修,595.0
153,中内环间 小高层得房 精装修一手房 一梯两户。,个人产权,普通住宅,钢混,,2018年,129.0,4室2厅1厨2卫,高层(共10层),9元/・月,住宅,平层,精装修,1180.0
154,房东急卖！只卖三天！送字母车位,个人产权,普通住宅,钢混,,2006年,126.36,3室2厅1厨1卫,中层(共33层),1.75元/平米・月,住宅,平层,豪华装修,845.0
155,低价急售 南北通透,个人产权,普通住宅,钢混,,2005年,110.58,3室2厅1厨1卫,中层(共33层),1.75元/平米・月,住宅,平层,精装修,695.0
156,房东急卖只卖三天 买到就是到,个人产权,普通住宅,钢混,,2005年,126.36,3室2厅1厨2卫,中层(共33层),1.75元/平米・月,住宅,平层,精装修,775.0
157,南北通透复式，使用面积大，送车位！打虎山路，未用过,个人产权,普通住宅,板楼,,2004年,76.0,3室2厅1厨2卫,高层(共6层),1元/平米・月,住宅,平层,精装修,410.0
158,新凯城银杏苑 2房1厅 当毛坯出售 看房子方便,个人产权,普通住宅,,,2012年,70.01,2室1厅1厨1卫,低层(共18层),1.45元/平米・月,住宅,平层,简装修,240.0
159,热销三房 别墅区 高铁 首付无忧 古镇风景旁 太湖风景区,个人产权,普通住宅,板楼,,,88.0,2室1厅1厨1卫,中层(共11层),暂无资料,住宅,平层,豪华装修,55.0
160,周边六所 高铁旁 风景边 别墅生活圈 户型,商品房,普通住宅,钢混,,2013年,90.0,3室1厅1厨1卫,中层(共18层),暂无资料,住宅,平层,豪华装修,
161,12首付 铁旁 别墅风景区 湿地旁 交通便利 周边围绕,个人产权,普通住宅,钢混,,2013年,90.0,2室1厅1厨1卫,低层(共18层),暂无资料,住宅,平层,豪华装修,60.0
162,小三房 首付超低 高铁旁 楼间距 人车分流 周边围绕,个人产权,普通住宅,板楼,,2013年,88.0,3室1厅1厨1卫,中层(共18层),暂无资料,住宅,平层,豪华装修,65.88
163,太湖风景区太湖之星 超 空气清新,个人产权,普通住宅,板楼,,2015年,75.0,2室1厅1厨1卫,中层(共21层),暂无资料,住宅,平层,豪华装修,62.88
164,太湖边一首独栋别墅 地理位置优越 4级景区送360花园+双车位+,商品房,普通住宅,板楼,,2013年,600.0,5室3厅1厨4卫,低层(共3层),暂无资料,住宅,平层,简装修,406.0
165,12超・ 在建高铁规划 别墅风景区交通便利,个人产权,普通住宅,板楼,,,44.0,1室1厅1厨1卫,中层(共19层),暂无资料,住宅,平层,简装修,37.0
166,现房销售 首付超低 莱茵河畔 在建高铁 规划 别墅风景旁,个人产权,普通住宅,板楼,,2013年,135.0,3室2厅1厨2卫,中层(共18层),暂无资料,住宅,平层,豪华装修,110.0
167,首付2成 小三房高铁旁 楼间距 人车分流 周边围绕,商品房,普通住宅,钢混,,2014年,88.0,3室1厅1厨2卫,中层(共19层),1.7元/・月,住宅,平层,豪华装修,82.0
168,首付只有20万 高铁双覆盖 太湖旁 月亮湾 浙大附属,个人产权,普通住宅,板楼,,2017年,127.0,3室2厅1厨2卫,中层(共19层),1.7元/・月,住宅,平层,豪华装修,118.0
169,首付2成！户型 双轨交通 单价9青山为伴绿水为友桃花源里,个人产权,普通住宅,钢混,,2017年,130.0,3室2厅1厨2卫,低层(共21层),1.7元/・月,住宅,平层,豪华装修,126.0
170,奥体旁 南浔 太湖风景 南浔 加推少量盘 先到先得,个人产权,普通住宅,钢混,,2017年,88.0,3室2厅1厨2卫,低层(共31层),1.7元/・月,住宅,平层,豪华装修,92.0
171,热销三方优美风景区 高铁  上海 嘉兴杭州 无锡 苏州,个人产权,普通住宅,钢混,,,125.0,3室2厅1厨2卫,中层(共19层),暂无资料,住宅,平层,豪华装修,79.0
172,碧桂园 理想地 商圈 围绕 新老城区交叉口,个人产权,普通住宅,板楼,,2013年,100.0,3室2厅1厨2卫,中层(共19层),2.3元/・月,住宅,平层,豪华装修,88.0
173,首付三成 豪装四房 新区 配套完善,个人产权,普通住宅,板楼,,2016年,141.0,4室2厅1厨2卫,低层(共27层),2.3元/・月,住宅,平层,精装修,129.0
174,一线品质住宅 精品好房 稍纵即逝 无中介费 免费看房,个人产权,普通住宅,板楼,,2014年,85.0,2室1厅1厨1卫,中层(共18层),1.95元/・月,住宅,平层,精装修,72.0
175,精品好房 稍纵即逝,个人产权,普通住宅,钢混,,2014年,99.38,3室2厅1厨2卫,中层(共11层),1.95元/・月,住宅,平层,精装修,
176,热销三方小高铁 首付无忧,个人产权,普通住宅,钢混,,2014年,143.0,3室2厅1厨2卫,中层(共11层),1.95元/・月,住宅,平层,精装修,118.0
177,上海周边 法式现房别墅 周边配套齐全地处繁华板块 独立大花园,商品房,普通住宅,板楼,,2015年,309.0,5室3厅2厨5卫,低层(共3层),暂无资料,住宅,平层,豪华装修,360.0
178,小三房 首付超低 高铁旁 楼间距 人车分流 周边围绕,个人产权,普通住宅,板楼,,2014年,143.17,3室2厅1厨2卫,中层(共11层),1.95元/・月,住宅,平层,毛坯,118.88
179,业主定居国外―无奈出售爱房―一手房高区已经售完，从未入住，,个人产权,普通住宅,,,2015年,382.0,4室2厅2厨3卫,高层(共20层),11元/・月,住宅,平层,豪华装修,5800.0
180,康城顶楼带40平阁楼户型，送20平露台，40万精装保养全新，送车位,个人产权,普通住宅,板楼,,2001年,135.0,3室2厅1厨2卫,高层(共8层),1.5元/平米・月,住宅,平层,精装修,410.77
181,50米大两房！送产权车位，接受置换时间，花园位置处！,个人产权,普通住宅,钢混,,2005年,96.57,2室2厅1厨1卫,高层(共11层),1.86元/平米・月,住宅,平层,精装修,630.0
182,金水苑一期 可贷款88平 南北通户型 精装修业主诚心出售 看房随时,个人产权,普通住宅,平房,,2009年,88.0,2室2厅1厨1卫,高层(共6层),0.4元/平米・月,住宅,平层,精装修,247.0
183,正阳世二期 精装修3房两卫 楼层好采光 业主诚心出售 看房随,个人产权,普通住宅,平房,,2015年,113.94,3室2厅1厨2卫,中层(共6层),1.28元/・月,住宅,平层,精装修,435.0
184,古华区 读华亭房 两南一北房业主诚心出售 看房方便,个人产权,普通住宅,平房,,2000年,87.0,3室1厅1厨1卫,中层(共6层),1元/平米・月,住宅,平层,中装修,250.0
185,百合苑  生态园北面 税费各付价 奉浦秒杀房源 看房随时,个人产权,普通住宅,平房,,2005年,101.0,2室2厅1厨1卫,低层(共11层),暂无资料,住宅,平层,简装修,320.0
186,解放新村 85平185万因价格太低挂不上去 诚心出售看房方,个人产权,普通住宅,平房,,1992年,85.0,2室2厅1厨1卫,高层(共6层),0.4元/平米・月,住宅,平层,简装修,230.0
187,金辉天鹅湾高档小区 精装修两房景观位置 业主诚心出售 看房随时,个人产权,普通住宅,平房,,2016年,84.77,2室2厅1厨1卫,中层(共18层),2.5元/・月,住宅,平层,精装修,320.0
188,贝港南区 精装修两房黄金楼层 好位置好楼层 看房随时,个人产权,普通住宅,平房,,1996年,75.0,2室1厅1厨1卫,中层(共5层),0.5元/平米・月,住宅,平层,简装修,195.0
189,解放新村 精装修南北户型 间间有窗户 业主诚心出售 税费各付,个人产权,普通住宅,平房,,1992年,50.0,2室1厅1厨1卫,中层(共6层),0.4元/平米・月,住宅,平层,精装修,160.0
190,中粮南桥半岛 户型超好毛坯房 业主很诚心出售 看房有钥匙,个人产权,普通住宅,平房,,2019年,99.0,3室1厅1厨1卫,中层(共6层),2.4元/・月,住宅,平层,毛坯,370.0
191,正阳世纪星城 南北通透户型6楼带阁楼 业主诚心出售 看房有钥匙,个人产权,普通住宅,平房,,2015年,112.39,3室2厅1厨2卫,高层(共6层),1.28元/・月,住宅,平层,中装修,385.0
192,正阳二期 精装修较少的电梯两房 景观位置 业主诚心出售,个人产权,普通住宅,平房,,2015年,82.0,2室1厅1厨1卫,中层(共18层),1.28元/・月,住宅,平层,精装修,348.0
193,奉浦苑 稀缺复式在售 精装修 业主诚心出售 看房随时,个人产权,普通住宅,平房,,1999年,201.0,5室2厅1厨3卫,中层(共2层),1.2元/平米・月,住宅,平层,中装修,668.0
194,恒盛湖畔豪庭 近地铁5号线 景观位置景观楼层 诚心出售税费自理,个人产权,普通住宅,平房,,2012年,148.0,3室2厅1厨2卫,高层(共17层),1.45元/平米・月,住宅,平层,毛坯,550.0
195,景怡佳苑 精装大三房 图片真景观位置 业主置换 诚心出售 税费各,个人产权,普通住宅,平房,,2005年,133.9,3室2厅1厨2卫,中层(共14层),1.2元/平米・月,住宅,平层,精装修,440.0
196,解放新村 小两房小户型 低总价业主诚心出售 税费自理,个人产权,普通住宅,平房,,1992年,51.4,2室1厅1厨1卫,高层(共6层),0.4元/平米・月,住宅,平层,中装修,152.0
197,解放新村 全解放性价比的一套185万 真实房子错过了就真的没有了,个人产权,普通住宅,平房,,1992年,73.0,3室1厅1厨1卫,高层(共5层),0.4元/平米・月,住宅,平层,精装修,190.0
198,金辉天鹅湾 难得出来套73平的 新房税费自理业主 诚心出售,个人产权,普通住宅,平房,,2016年,73.0,2室1厅1厨1卫,低层(共18层),2.5元/・月,住宅,平层,毛坯,295.0
199,解放新村 精装小户型两南房 业主诚心出售 税费各付看房随时,个人产权,普通住宅,平房,,1992年,54.0,2室1厅1厨1卫,低层(共6层),0.4元/平米・月,住宅,平层,中装修,155.0
200,解放新村 一楼带天井小户型两南房 业主诚心出售 看房随时,个人产权,普通住宅,平房,,1992年,46.0,2室1厅1厨1卫,低层(共6层),0.4元/平米・月,住宅,平层,简装修,145.0
201,聚贤煌都 139平只要390万因为价格低挂不上去 有钥匙,个人产权,普通住宅,平房,,2009年,139.0,3室2厅1厨2卫,低层(共11层),1.4元/平米・月,住宅,平层,简装修,405.0
202,天河前滩 特价房 同济附属双 地铁房8号延伸线 潜力一手商品房！,个人产权,普通住宅,钢混,,2016年,90.0,3室2厅1厨1卫,中层(共13层),2.85元/・月,住宅,平层,精装修,230.0
203,名宅新境界 一梯两户纯商品房 醇熟配套 纵享奢华,经济适用房,,钢混,,2001年,102.0,2室2厅1厨1卫,高层(共18层),1.35元/平米・月,住宅,平层,精装修,800.0
204,配套齐全 置换急卖 低于市50万 近3/11 近徐汇滨江,个人产权,普通住宅,板楼,,2004年,90.0,2室2厅1厨1卫,中层(共12层),1.40元/平米・月,住宅,平层,精装修,400.0
205,装修清爽 小区 后排十楼 送家具家电，阳光,商品房,,板楼,,2003年,130.0,3室2厅1厨2卫,中层(共16层),2.55元/平米・月,住宅,平层,精装修,1180.0
206,世纪景点大3房南北通透户型，随时看房，满五少税费，诚售,商品房,,板楼,,2000年,147.0,3室2厅1厨2卫,中层(共11层),0.9元/平米・月,住宅,平层,精装修,950.0
207,"业主诚心出售,配套齐全,看房电话联系 ，诚售。",商品房,,板楼,,2005年,127.0,3室2厅1厨2卫,中层(共13层),2.15元/平米・月,住宅,平层,精装修,1250.0
208,大华二村一房260万 ，临近7号线地铁房 一个点,个人产权,普通住宅,板楼,,1996年,51.83,1室1厅1厨1卫,中层(共6层),0.4元/平米・月,住宅,平层,精装修,260.0
209,中介费一个点 大华二村低总价 精装修商品房 五年地铁线,个人产权,普通住宅,板楼,,1996年,66.83,2室1厅1厨1卫,中层(共6层),0.4元/平米・月,住宅,平层,精装修,340.0
210,万城理想公馆，海宁市，今日开盘，首付只要40万，抓紧啦,商品房,普通住宅,,,2016年,78.0,2室2厅1厨1卫,中层(共26层),暂无资料,住宅,,精装修,81.0
211,首付2成，3号线与9号线无缝对接，可，旁边环绕7座,商品房,普通住宅,,,暂无资料年,84.0,2室1厅1厨1卫,中层(共18层),暂无资料,住宅,,精装修,58.0
212,首付2成，70年产权，可，22号线旁，一手准现房,个人产权,普通住宅,,,2015年,41.0,2室2厅1厨1卫,高层(共18层),1.86元/・月,住宅,,精装修,58.0
213,湖州市，一首现房，款清交房，首付只要20万，单价只要6500,商品房,普通住宅,,,2015年,98.0,3室2厅1厨1卫,中层(共16层),1.9元/・月,住宅,,精装修,60.0
214,海宁市，未来股，首付只要2.5成，看房专车接送机会不容错过,商品房,普通住宅,,,2015年,82.0,2室2厅1厨1卫,中层(共22层),暂无资料,住宅,,精装修,65.0
215,首付18万就可买到4房，单价不到1万，奥体一百米外，可,商品房,普通住宅,,,2017年,88.0,3室2厅1厨1卫,高层(共22层),1.7元/・月,住宅,,简装修,78.0
216,一线海景房，11号线，首付80万，月租5000，中旁边,商品房,普通住宅,,,2013年,87.0,2室2厅1厨1卫,中层(共15层),2元/・月,住宅,,精装修,154.0
217,首荐！对面社区医院 凉城公园 张氏鸡粥！,个人产权,普通住宅,板楼,,1993年,42.25,1室1厅1厨1卫,低层(共6层),0.5元/平米・月,住宅,平层,中装修,230.0
218,首荐！上下楼方便 装修好 附送20平方！,个人产权,普通住宅,板楼,,1992年,40.0,2室1厅1厨1卫,低层(共6层),0.7元/平米・月,住宅,平层,精装修,220.0
219,首荐！位置，彰显你地位的豪宅，凉城你就是明星！,个人产权,普通住宅,板楼,,2004年,145.0,3室2厅1厨2卫,高层(共17层),2元/平米・月,住宅,平层,精装修,1160.0
220,首荐！480万买三房 还有固定车位送哦 !精装修！,个人产权,普通住宅,板楼,,2002年,87.0,3室1厅1厨1卫,中层(共24层),1.4元/平米・月,住宅,平层,精装修,480.0
221,首荐！房子全明一梯两户 南北通 得房率超高！,个人产权,普通住宅,板楼,,1992年,60.0,2室1厅1厨1卫,低层(共6层),0.7元/平米・月,住宅,平层,中装修,330.0
222,首荐！电梯房 公园对面 地段没有比这更好的了！,个人产权,普通住宅,板楼,,1993年,98.0,3室1厅1厨1卫,低层(共19层),暂无资料,住宅,平层,简装修,500.0
223,陆家嘴莱蒙中央高区世纪公园景观南北通透双阳台新装修送车位,个人产权,普通住宅,板楼,,2016年,91.0,2室2厅1厨3卫,高层(共20层),2.85元/平方米・月,住宅,平层,精装修,1000.0
224,首荐！房方便 双南全明 此户型比较稀缺！,个人产权,普通住宅,板楼,,1982年,60.0,2室1厅1厨1卫,高层(共26层),暂无资料,住宅,平层,精装修,360.0
225,首荐！小户型，南北通 正宗一房一厅，可改两房！,个人产权,普通住宅,板楼,,1993年,40.0,1室1厅1厨1卫,低层(共6层),0.7元/平米・月,住宅,平层,中装修,230.0
226,首荐！价格一降再降，只因还未遇到有缘的你！,个人产权,普通住宅,板楼,,2002年,149.0,3室2厅1厨2卫,中层(共35层),1.6元/平米・月,住宅,平层,精装修,900.0
227,首荐！景瑞花园板式三房 黄金楼层全明户型，近三号地铁 房东急售,个人产权,普通住宅,板楼,,1996年,97.0,3室1厅1厨1卫,中层(共6层),1.2元/平米・月,住宅,平层,简装修,525.0
228,首荐！江杨名苑，三房 稀缺边套全明户型，精装修好房不容错,个人产权,普通住宅,塔楼,,1998年,83.0,3室1厅1厨1卫,中层(共6层),0.8元/平米・月,住宅,平层,精装修,468.0
229,首荐！电梯小高层 物业管理相当好 中星集团品质！,个人产权,普通住宅,板楼,,2005年,138.0,3室2厅1厨2卫,中层(共9层),1.85元/平米・月,住宅,平层,简装修,858.0
230,首荐！我不知道这个单价的房子您看过吗 但我保证是真的,个人产权,普通住宅,板楼,,1998年,107.0,2室2厅1厨1卫,中层(共18层),0.7元/平米・月,住宅,平层,中装修,460.0
231,首荐！对面上外附小 李嘉诚说过 地段地段还是地段!,个人产权,普通住宅,板楼,,1997年,76.0,2室2厅1厨1卫,中层(共6层),0.7元/平米・月,住宅,平层,精装修,400.0
232,地铁11号线旁一手现房 70年产权住宅 出行方便 带车位,个人产权,普通住宅,钢混,,2017年,90.0,2室2厅1厨1卫,高层(共12层),0.6元/平米・月,住宅,平层,毛坯,200.0
233,世茂滨江新出朝南带阳台两居，采光好，业主急售,个人产权,普通住宅,,,2005年,135.71,2室2厅0厨2卫,高层(共56层),5元/平米・月,住宅,,中装修,1350.0
234,人生至少要有两次冲动，一场奋不顾身的爱情和一次说买就买的房子,个人产权,普通住宅,钢混,,2003年,182.44,4室2厅1厨2卫,高层(共6层),0.7元/平米・月,住宅,复式,中装修,680.0
235,年后降价急售―150万硬装+中央空调+地暖―120平花园―双车位,,,,,,214.0,4室2厅1厨3卫,,1.9元/平米・月,别墅,,,810.0
236,11号线地铁口 可贷款,个人产权,酒店式公寓,板楼,,2015年,45.0,2室2厅1厨1卫,高层(共6层),4元/平米・月,住宅,复式,精装修,55.0
237,6.12双轨，交通便利，配套成熟，购物方便，房东可接受置换！,个人产权,普通住宅,钢混,,2005年,96.82,2室2厅1厨1卫,高层(共8层),1.86元/平米・月,住宅,平层,精装修,460.0
238,业主二次装修，保养好，户型方正，三房朝南，，随时看,个人产权,普通住宅,板楼,,2002年,168.0,3室2厅1厨2卫,高层(共20层),2元/平米・月,住宅,平层,简装修,1250.0
239,区进门位置 三街坊43平直套通风一房 一梯二户 房东诚心卖,个人产权,普通住宅,板楼,,1996年,43.13,1室1厅1厨1卫,高层(共7层),0.3元/平米・月,住宅,平层,简装修,278.0
